id,resource_id,entry_id,quantity,expires_at,state,created_at,confirmed_at,cancelled_at,expired_at
4ec8a62c-e876-4e89-9b9a-ed92661e4ce4,8fb05aa7-a99d-4f06-acf0-7202594f9993,6846e803-9f3f-4c03-9fec-968af973587f,3,2026-06-30 04:26:35.937219+00,CONFIRMED,2026-06-30 04:25:50.946567+00,2026-06-30 04:25:51.737896+00,,
9ed7d070-3367-45f8-8d88-08ca4c8c2699,8fb05aa7-a99d-4f06-acf0-7202594f9993,a8dc290b-5bb3-4b52-bc92-2b455a419c0d,3,2026-06-30 04:26:35.869294+00,CONFIRMED,2026-06-30 04:25:50.879084+00,2026-06-30 04:25:51.737429+00,,
d8496356-97fc-4900-a95a-66965cdfda8a,8fb05aa7-a99d-4f06-acf0-7202594f9993,d390f3d9-fd65-4580-9018-2366222399f2,1,2026-06-30 04:26:35.845781+00,CONFIRMED,2026-06-30 04:25:50.855597+00,2026-06-30 04:25:51.76245+00,,
65949784-eb16-4d60-8c06-05f1e13b8608,8fb05aa7-a99d-4f06-acf0-7202594f9993,f506d45e-0cd1-4b2d-bc05-4dc61c62223a,3,2026-06-30 04:26:35.996215+00,CONFIRMED,2026-06-30 04:25:51.005966+00,2026-06-30 04:25:51.785624+00,,
8ad32303-46a6-4d09-a91d-b0439d8d06b3,8fb05aa7-a99d-4f06-acf0-7202594f9993,8d8a441e-7808-4818-bcc3-128a69ae5a15,1,2026-06-30 04:26:35.725637+00,CONFIRMED,2026-06-30 04:25:50.738043+00,2026-06-30 04:25:51.77304+00,,
7056175a-f190-40e3-8c0c-e01ae6687cee,8fb05aa7-a99d-4f06-acf0-7202594f9993,4ad76983-9665-4092-b555-435d6271e69e,1,2026-06-30 04:26:35.559818+00,CONFIRMED,2026-06-30 04:25:50.610954+00,2026-06-30 04:25:51.798423+00,,
7b7fc89b-c209-43b9-98d3-257e23520a12,8fb05aa7-a99d-4f06-acf0-7202594f9993,34c16163-2fc1-471e-860e-965848a477a7,2,2026-06-30 04:26:35.915572+00,CONFIRMED,2026-06-30 04:25:50.925011+00,2026-06-30 04:25:51.809231+00,,
a5fe02fe-baec-49cb-a263-6158ad57b212,8fb05aa7-a99d-4f06-acf0-7202594f9993,84ee1ba5-96cf-4516-8eef-e6ae27ca7b8b,2,2026-06-30 04:26:35.754502+00,CONFIRMED,2026-06-30 04:25:50.765553+00,2026-06-30 04:25:51.801851+00,,
775e1557-ed7b-4ff2-9425-d8392d655979,8fb05aa7-a99d-4f06-acf0-7202594f9993,23241350-1a69-4875-b6df-0d951e2f0bb6,2,2026-06-30 04:26:36.109683+00,CONFIRMED,2026-06-30 04:25:51.118681+00,2026-06-30 04:25:51.783995+00,,
91f13b74-29c1-40ee-a061-9cdbcdb22cf5,8fb05aa7-a99d-4f06-acf0-7202594f9993,45c31672-87e1-4037-aadb-89f98ffb57b5,2,2026-06-30 04:26:35.691759+00,CONFIRMED,2026-06-30 04:25:50.704227+00,2026-06-30 04:25:51.856023+00,,
a8dc40f9-2141-441f-aaee-551c85bf07bb,8fb05aa7-a99d-4f06-acf0-7202594f9993,8c23548b-f424-40ea-a6a2-7644c3737d45,3,2026-06-30 04:26:35.957777+00,CONFIRMED,2026-06-30 04:25:50.964615+00,2026-06-30 04:25:51.840659+00,,
