id,resource_id,entry_id,quantity,expires_at,state,created_at,confirmed_at,cancelled_at,expired_at
1ee783fd-6c28-4127-8234-0fa51df8a7eb,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,fc0633f4-93b4-4296-91f3-a67284df2ef7,2,2026-06-30 03:07:56.066539+00,CONFIRMED,2026-06-30 03:07:26.071625+00,2026-06-30 03:07:26.773379+00,,
a5375ab2-62b3-431d-850c-b9ac04875e07,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,ea9932a0-4e4d-443b-a8be-06521819462f,1,2026-06-30 03:05:52.29475+00,CONFIRMED,2026-06-30 03:05:22.315513+00,2026-06-30 03:05:22.758994+00,,
39c4a87e-0c4d-42e8-b1aa-81d7c527ab18,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,ed284ff4-a470-4864-945e-2ba596911da3,1,2026-06-30 03:05:52.357227+00,CONFIRMED,2026-06-30 03:05:22.368006+00,2026-06-30 03:05:22.763708+00,,
47afc7ae-60bc-424f-abec-08f8c60cd486,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,e48c717f-e516-4f26-86e2-31273b61213a,1,2026-06-30 03:05:52.382251+00,CONFIRMED,2026-06-30 03:05:22.389994+00,2026-06-30 03:05:22.803368+00,,
f056ea64-8618-4385-afab-dc2986d74bee,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,155b57b2-e342-4bbc-a276-0be8309082d8,2,2026-06-30 03:05:52.401487+00,CONFIRMED,2026-06-30 03:05:22.408723+00,2026-06-30 03:05:22.854406+00,,
760c3297-03ff-4967-b4ed-6d2df997adb2,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,f4bfb750-4413-43c3-9095-5d4de6dc442a,2,2026-06-30 03:05:52.420296+00,CONFIRMED,2026-06-30 03:05:22.427469+00,2026-06-30 03:05:22.890761+00,,
cef27161-90ce-497a-9479-d7b366a309fb,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,3ee80c1a-63f9-48a9-9a51-f6329f5ac7d5,2,2026-06-30 03:05:52.439736+00,CONFIRMED,2026-06-30 03:05:22.449729+00,2026-06-30 03:05:22.930837+00,,
9852474a-2a2a-4d29-a1c8-b871e619a12e,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,6280d7cd-fe93-4898-995e-5ceacc87fcf4,2,2026-06-30 03:05:52.461275+00,CONFIRMED,2026-06-30 03:05:22.469853+00,2026-06-30 03:05:22.970526+00,,
cb82443d-185a-406f-9571-e889fdda4263,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,aff63d76-62f8-4804-9d43-d8eddf325626,1,2026-06-30 03:05:52.484052+00,CONFIRMED,2026-06-30 03:05:22.491695+00,2026-06-30 03:05:22.999418+00,,
fd2a9dc5-d630-47af-bea2-3b974ea5cbd8,e8a8d3dd-4c15-4f4d-a261-8e12adababbf,fe0d6a9d-6b7b-4d29-a1c9-016b4db42b2c,1,2026-06-30 03:05:52.503447+00,CONFIRMED,2026-06-30 03:05:22.513133+00,2026-06-30 03:05:23.022062+00,,
