id,resource_id,entry_id,quantity,expires_at,state,created_at,confirmed_at,cancelled_at,expired_at
5f0d7035-1838-405f-b254-e1c8986df47c,ef44a887-2273-488c-bd9b-ff73ce47663a,e3e05215-3bb0-4390-a30c-c4fa3135af15,2,2026-06-30 04:05:36.576947+00,CONFIRMED,2026-06-30 04:04:51.597174+00,2026-06-30 04:04:52.508714+00,,
1110c723-0d63-468a-9d67-c511e41d5a2e,ef44a887-2273-488c-bd9b-ff73ce47663a,e227b0a5-dc7a-4f32-ae7d-58de0e780bc8,1,2026-06-30 04:05:37.693473+00,CONFIRMED,2026-06-30 04:04:52.703462+00,2026-06-30 04:04:53.145297+00,,
41864953-3bae-4662-b081-3ee63f747371,ef44a887-2273-488c-bd9b-ff73ce47663a,7165ec50-7462-4152-95ac-85c2159fd54a,2,2026-06-30 04:05:37.718632+00,CONFIRMED,2026-06-30 04:04:52.729435+00,2026-06-30 04:04:53.527868+00,,
905b08b9-452e-4ab0-95fc-01d20616dd62,ef44a887-2273-488c-bd9b-ff73ce47663a,d702e850-e62a-4dc0-bb09-4e841034049c,1,2026-06-30 04:05:37.746386+00,CONFIRMED,2026-06-30 04:04:52.757809+00,2026-06-30 04:04:53.639834+00,,
cde5be2d-e4cd-4810-9135-87f59b9436f7,ef44a887-2273-488c-bd9b-ff73ce47663a,4b6223d2-6a09-4f12-82ab-9073a96de1a2,2,2026-06-30 04:05:37.671246+00,CONFIRMED,2026-06-30 04:04:52.677912+00,2026-06-30 04:04:53.784292+00,,
89628538-95f2-49d9-b96c-eb87c4f00e23,ef44a887-2273-488c-bd9b-ff73ce47663a,761a451f-0c72-4be5-b183-85f23a582cd6,1,2026-06-30 04:05:38.809636+00,CONFIRMED,2026-06-30 04:04:53.8184+00,2026-06-30 04:04:54.258104+00,,
bf0346a1-55b6-4846-be87-b4c7892e9925,ef44a887-2273-488c-bd9b-ff73ce47663a,4f90019c-d2ac-4fc2-839d-9a7e84811eb4,1,2026-06-30 04:05:38.829791+00,CONFIRMED,2026-06-30 04:04:53.837783+00,2026-06-30 04:04:54.281593+00,,
fbdcfe2d-fc3d-4001-90eb-d137ff4f69ea,ef44a887-2273-488c-bd9b-ff73ce47663a,6ffee9d7-9610-4f4e-8642-eaea8fec2d1b,2,2026-06-30 04:05:38.846347+00,CONFIRMED,2026-06-30 04:04:53.853559+00,2026-06-30 04:04:54.620174+00,,
5849aa3f-1dc5-43e0-9408-1ea5d448b3a0,ef44a887-2273-488c-bd9b-ff73ce47663a,9e4eee89-ae1c-4627-b184-290729a0f381,2,2026-06-30 04:05:38.864505+00,CONFIRMED,2026-06-30 04:04:53.870729+00,2026-06-30 04:04:54.653007+00,,
9abcfe99-0ec8-4cd0-9c90-64d4fa56cfb9,ef44a887-2273-488c-bd9b-ff73ce47663a,ccdf411c-b3d9-4aae-a9d7-c8ca17c161a8,3,2026-06-30 04:05:38.879423+00,CONFIRMED,2026-06-30 04:04:53.886326+00,2026-06-30 04:04:54.72697+00,,
